profile_id,sample_index,sample_seed,accepted,max_cr,error,offending_paths
P1,63,17800105,True,0.039281184235494086,,
P1,64,17800106,True,0.0648606684880103,,
P1,65,17800107,True,0.045208779141094974,,
P1,66,17800108,True,0.039685213816371245,,
P1,67,17800109,True,0.060075673290713144,,
P1,68,17800110,True,0.058215541773622155,,
P1,69,17800111,True,0.0683632748514903,,
P1,70,17800112,True,0.07645412980228904,,
P1,71,17800113,True,0.05175987012073237,,
P1,72,17800114,True,0.04625621090955894,,
P1,73,17800115,True,0.03876136338567712,,
P1,74,17800116,True,0.06417201796393054,,
P1,75,17800117,True,0.026860581937227315,,
P1,76,17800118,True,0.07609510898571442,,
P1,77,17800119,True,0.03068683087215814,,
P1,78,17800120,True,0.03826981351237272,,
P1,79,17800121,True,0.0671361764984319,,
P1,80,17800122,True,0.04346570743919547,,
P1,81,17800123,True,0.0252361613105643,,
P1,82,17800124,True,0.07609577694448748,,
P1,83,17800125,True,0.025128588461395353,,
P1,84,17800126,True,0.053010952518472904,,
P1,85,17800127,True,0.05397279219802692,,
P1,86,17800128,True,0.02187429741868699,,
P1,87,17800129,True,0.028962761589433356,,
P1,88,17800130,True,0.04630432950023973,,
P1,89,17800131,True,0.030372804572490943,,
P1,90,17800132,True,0.06588870995677111,,
P1,91,17800133,True,0.04037104125004777,,
P1,92,17800134,True,0.050666792106662605,,
P1,93,17800135,True,0.03948657245552056,,
P1,94,17800136,True,0.034891700457929276,,
P1,95,17800137,True,0.06636614968792873,,
P1,96,17800138,True,0.037512913513334266,,
P1,97,17800139,True,0.02359217175918633,,
P1,98,17800140,True,0.03842577835667619,,
P1,99,17800141,True,0.037698769420558796,,
P1,100,17800142,True,0.03563457833202083,,
P1,101,17800143,True,0.030182409636482433,,
P1,102,17800144,True,0.03764713141356627,,
P1,103,17800145,True,0.03482735954891989,,
P1,104,17800146,True,0.031986978601699745,,
P1,105,17800147,True,0.030847962542611206,,
P1,106,17800148,True,0.05737795207310711,,
P1,107,17800149,True,0.094738604446844,,
P1,108,17800150,True,0.058231945379590026,,
P1,109,17800151,True,0.05705810265017267,,
P1,110,17800152,True,0.03806511487739016,,
P1,111,17800153,True,0.03037358576915606,,
P1,112,17800154,True,0.022646183764329267,,
P1,113,17800155,True,0.0386705247548005,,
P1,114,17800156,True,0.03575196478911214,,
P1,115,17800157,True,0.043099105496200656,,
P1,116,17800158,True,0.03672343282113248,,
P1,117,17800159,True,0.03215393630797193,,
P1,118,17800160,True,0.06636614968792873,,
P1,119,17800161,True,0.048050652568588974,,
P1,120,17800162,True,0.050617897746716024,,
P1,121,17800163,True,0.04446603534738687,,
P1,122,17800164,True,0.024729123325303696,,
P1,123,17800165,True,0.06522766332135295,,
P1,124,17800166,True,0.08843730532276654,,
P1,125,17800167,True,0.030101208643075316,,
P1,126,17800168,True,0.0395241533793418,,
P1,127,17800169,True,0.04171786378590908,,
P1,128,17800170,True,0.045909868624106745,,
P1,129,17800171,True,0.032174927485499605,,
P1,130,17800172,True,0.055326498444308196,,
P1,131,17800173,True,0.03850007640388489,,
P1,132,17800174,True,0.0678905698469701,,
P1,133,17800175,True,0.06046236795326965,,
P1,134,17800176,True,0.03654708296300459,,
P1,135,17800177,True,0.046256210909557956,,
P1,136,17800178,True,0.031183566488152764,,
P1,137,17800179,True,0.03888862228506098,,
P1,138,17800180,True,0.03501618410454159,,
P1,139,17800181,True,0.03180345539234306,,
P1,140,17800182,True,0.03741948220254346,,
P1,141,17800183,True,0.024861937364070483,,
P1,142,17800184,True,0.07766796681354596,,
P1,143,17800185,True,0.0655163188226461,,
P1,144,17800186,True,0.04613101564301816,,
P1,145,17800187,True,0.028175076803067453,,
P1,146,17800188,True,0.02906128191424471,,
P1,147,17800189,True,0.04625621090955894,,
P1,148,17800190,True,0.04498168210445647,,
P1,149,17800191,True,0.04168689881571901,,
P1,150,17800192,True,0.06595446420931174,,
P1,151,17800193,True,0.03300622608915585,,
P1,152,17800194,True,0.05163613304553427,,
P1,153,17800195,True,0.033030641262431805,,
P1,154,17800196,True,0.03791028900415623,,
P1,155,17800197,True,0.08559742452802234,,
P1,156,17800198,True,0.09505082893199142,,
P1,157,17800199,True,0.026101452429672548,,
P1,158,17800200,True,0.025852313509336748,,
P1,159,17800201,True,0.053423554849595586,,
P1,160,17800202,True,0.0727363928449379,,
P1,161,17800203,True,0.037272661419618894,,
P1,162,17800204,True,0.03133433963922366,,
P1,163,17800205,True,0.05332018978274605,,
P1,164,17800206,True,0.035858827287108416,,
P1,165,17800207,True,0.024373878917558475,,
P1,166,17800208,True,0.051861081252271624,,
P1,167,17800209,True,0.056266586217195894,,
P1,168,17800210,True,0.04000837526963352,,
P1,169,17800211,True,0.04250011737684796,,
P1,170,17800212,True,0.08410314375351015,,
P1,171,17800213,True,0.0618234630602153,,
P1,172,17800214,True,0.05333348044988955,,
P1,173,17800215,True,0.03893218882992454,,
P1,174,17800216,True,0.022038937164194302,,
P1,175,17800217,True,0.042926695547470424,,
P1,176,17800218,True,0.03944763700152606,,
P1,177,17800219,True,0.04501521103910391,,
P1,178,17800220,True,0.0492545158519538,,
P1,179,17800221,True,0.030402263719110208,,
P1,180,17800222,True,0.030479416252444033,,
